ALB                    CARICA BATTERIA BC 12V
CFS                    RELÈ DI FASE
AMC1                   ALIMENTATORE MCP2015X-SMD,RSS 24V
AMC2                   ALIMENTATORE MCP2015X-SMD,RSS 24V
AB1                    CARICABATTERIE BATTERIE EMERGENZA 24V
AB2                    CARICABATTERIE BATTERIE EMERGENZA 24V
BC                     BATTERIA ALLARME 12V 7AH
F1                     FUSIBILE 4A TR1
F3                     FUSIBILE 4A CIRCUITO MANOVRA
F4                     FUSIBILE 4A CIRCUITO LUMINOSE
F5-F6                  FUSIBILE MOTORE PORTE 48VCC LATO1-2
F8                     FUSUBILE PATTINO RETRATTILE
F10                    FUSIBILE 4A PROTEZIONE +24VDC GRUPPO BATTERIE
F11                    FUSIBILE 4A PROTEZIONE +48VDC GRUPPO BATTERIE
VA                     VALVOLA MAGNETOTERMICA PROTEZIONE CIRCUITO MANOVRA
TR1                    TRASFORMATORE MONOFASE ALIMENTAZIONE QUADRO

MCP2015X-SMD           SCHEDA MADRE
PER16B-SMD             SCHEDA ESPANSIONE CHIAMATE-LUMINOSE
L1307                  SCHEDA LEGGE 13
MIAE                   SCHEDA EMERGENZA (SMS)
SMS-START              SOFT-STARTER (SMS)

Y                      TELERUTTORE STELLA
P                      TELERUTTORE PROTEZIONE
DIS                    TELERUTTORE DISCESA
SAL                    TELERUTTORE SALITA
PV                     RELÈ BASSA VELOCITÀ
RP                     RELÈ PATTINO
XY                     RELEÈ INTERFACCIA Y
PX                     RELÈ INTERFACCIA P
SX                     RELEÈ INTERFACCIA SAL
AP1 - AP2              RELÈ APERTURA
CP1 - CP2              RELÈ CHIUSURA
RSS                    RELÈ SICUREZZA (OMRON)
TM - TM1 - TM2         RELÈ TENSIONE MANOVRA
RD1                    RADDRIZZATORE MANOVRA
RD2                    RADDRIZZATORE LUMINOSE
RD4                    RADDRIZZATORE PATTINO
RD5                    RADDRIZZATORE PORTE LATO1
RD6                    RADDRIZZATORE PORTE LATO2
